type,class,segment,num,part,left,right,upper,lower
isucalc,senior,sp,1,header,28,555,750,695
isucalc,senior,sp,1,elements,28,555,668,592
isucalc,senior,sp,1,program,28,555,591,520
isucalc,senior,sp,1,deductions,98,555,514,504
#
isucalc,senior,sp,2,header,28,555,485,438
isucalc,senior,sp,2,elements,28,555,410,333
isucalc,senior,sp,2,program,28,555,331,262
isucalc,senior,sp,2,deductions,98,555,257,245
#
isucalc,senior,fs,1,header,28,555,750,695
isucalc,senior,fs,1,elements,28,555,668,545
isucalc,senior,fs,1,program,28,555,540,475
isucalc,senior,fs,1,deductions,98,555,468,456
#
isucalc,senior,fs,2,header,28,555,438,388
isucalc,senior,fs,2,elements,28,555,364,240
isucalc,senior,fs,2,program,28,555,233,168
isucalc,senior,fs,2,deductions,98,555,165,155
#
isucalc,ungdom,sp,1,header,28,555,750,695
isucalc,ungdom,sp,1,elements,28,555,668,602
isucalc,ungdom,sp,1,program,28,555,597,530
isucalc,ungdom,sp,1,deductions,98,555,526,513
#
isucalc,ungdom,sp,2,canary,28,555,513,501
#
isucalc,ungdom,sp,2a,header,28,555,505,455
isucalc,ungdom,sp,2a,elements,28,555,428,361
isucalc,ungdom,sp,2a,program,28,555,359,292
isucalc,ungdom,sp,2a,deductions,98,555,287,272
#
isucalc,ungdom,sp,2b,header,28,555,469,446
isucalc,ungdom,sp,2b,elements,28,555,420,351
isucalc,ungdom,sp,2b,program,28,555,350,280
isucalc,ungdom,sp,2b,deductions,98,555,277,265
#
isucalc,ungdom,fs,1,header,28,555,750,695
isucalc,ungdom,fs,1,elements,28,555,668,573
isucalc,ungdom,fs,1,program,28,555,570,501
isucalc,ungdom,fs,1,deductions,98,555,500,485
#
isucalc,ungdom,fs,2,canary,28,555,485,474
#
isucalc,ungdom,fs,2a,header,28,555,480,425
isucalc,ungdom,fs,2a,elements,28,555,400,303
isucalc,ungdom,fs,2a,program,28,555,304,233
isucalc,ungdom,fs,2a,deductions,98,555,230,216
#
isucalc,ungdom,fs,2b,header,28,555,468,417
isucalc,ungdom,fs,2b,elements,28,555,392,296
isucalc,ungdom,fs,2b,program,28,555,294,224
isucalc,ungdom,fs,2b,deductions,98,555,220,210
